Race Name,Distance,Street,Road,Paved,Asphalt,Path,Cycleway,Unpaved,State Road,Cobblestones,Unknown,Compacted Gravel,Off-grid (unknown),Singletrack,Access Road,Alpine,Net Gain,Lowest Elevation,Highest Elevation,Vertical Gain,Downhill
2022 Donostia San Sebastian Klasikoa,222.348,9.5,134,4.07,217,1.02,6.07,,70.9,1.14,0.898,,0.858,,,,-30,,677,4330,4360
2022 Dookola Mazowsza Stage 1,168,,168,,168,,,0.234,,,,,,,,,-10,81,94,340,350
2022 Dookola Mazowsza Stage 2,176.83,2.83,174,,177,,,,,,,,,,,,,108,151,580,580
2022 Dookola Mazowsza Stage 3,164.63,13.6,146,41.4,108,1.94,1.39,10.6,1.7,2.6,1.96,,,,,,-10,94,156,510,520
2022 Dookola Mazowsza Stage 4,166.3,56.9,40.3,19.2,147,,,,69.1,,,,,,,,,112,167,690,690
2022 Druivenkoers - Overijse,192.16,23.5,98.4,90.2,98.8,,68.8,,1.46,3.17,,,,,,,,30,109,1430,1430
2022 Egmont Cycling Race,194,42.7,76.4,88.7,93.2,,74.9,,,12.1,,,,,,,20,12,100,1250,1230
2022 Elite Road Central American Championships - ITT,30.9,,18.6,,30.9,,,,12.3,,,,,,,,300,489,864,530,230
2022 Elite Road Central American Championships,106.591,0.291,34.9,,107,,,,71.4,,,,,,,,120,480,814,1250,1130
2022 Ethias-Tour de Wallonie Stage 1,174.53,5.09,150,18.2,156,,5.14,,14.3,0.383,,,,,,,30,68,310,2050,2020
2022 Ethias-Tour de Wallonie Stage 2,177.62,7.8,154,8.32,169,,1.82,,14,,,,,,,,,108,531,2720,2720
2022 Ethias-Tour de Wallonie Stage 3,196.278,7.5,130,24.5,171,,3.22,0.451,55.4,,0.158,,0.158,,,,70,92,360,2810,2740
2022 Ethias-Tour de Wallonie Stage 4,201.155,0.915,144,8.81,193,,5.84,,50.4,,,,,,,,10,99,528,2990,2980
2022 Ethias-Tour de Wallonie Stage 5,212.9,10.5,164,40.4,151,,25.2,0.702,8.85,16.9,4.35,,4.35,0.693,,,40,54,173,1540,1500
2022 Famenne Ardenne Classic,188.189,9.19,144,11.9,175,,2.76,,31.9,0.94,0.339,,0.339,,,,30,192,565,2670,2640
2022 Flanders Tomorrow Tour Stage 1,151.71,2.21,95.6,57.4,90.8,,53.9,,,3.53,,,,,,,,13,151,920,920
2022 Flanders Tomorrow Tour Stage 2,153.97,7.39,127,70.5,83.4,,18,,1.58,,,,,,,,,18,47,670,670
2022 Flanders Tomorrow Tour Stage 3-1,12.55,,6.41,6.41,6.14,,6.14,,,,,,,,,,,-1,2,10,10
2022 Flanders Tomorrow Tour Stage 3-2,124.99,5.79,87,24.7,100,,32.2,,,,,,,,,,,4,43,360,360
2022 Gemenc GP Stage 1,166.359,2.46,152,6.61,160,0.723,,,10.9,,0.314,,0.276,,,,10,88,173,950,940
2022 Gemenc GP Stage 2,128.226,,80.5,37.9,90.2,0.205,0.121,,47.4,0.197,,,,,,,20,83,217,630,610
2022 German Road National Championships,149.032,4.15,69.6,,149,,0.382,,74.9,,,,,,,,,182,347,1550,1550
2022 Giro Ciclistico della Valle d'Aosta - Mont Blanc Stage 1,80.52,0.317,72.3,,80.5,,0.593,,7.31,,,,,,,,170,554,1344,1690,1520
2022 Giro Ciclistico della Valle d'Aosta - Mont Blanc Stage 2,124.157,4.07,98.5,33.4,90.3,,0.316,,21.1,0.145,0.361,,0.171,,,,60,457,1079,2510,2450
2022 Giro Ciclistico della Valle d'Aosta - Mont Blanc Stage 3,138.86,6.58,93.5,19.5,118,,,,37.8,0.18,0.877,,0.86,,0.12,,-20,568,1600,3280,3300
2022 Giro Ciclistico della Valle d'Aosta - Mont Blanc Stage 4,174.474,5.83,110,11.7,162,0.695,,,57.6,0.44,0.808,,0.349,,,,1140,314,1637,4750,3610
2022 Giro Ciclistico della Valle d'Aosta - Mont Blanc Stage 5,120.029,1.27,105,10.4,109,,0.759,,13,0.145,,,,,,,970,440,1998,3450,2480
2022 Giro d'Italia Donne Prologue,4.74,2.55,,,4.74,,2.19,,,,,,,,,,-10,,3,,10
2022 Giro d'Italia Donne Stage 1,107.7,,25.3,3,32.7,17.7,,16.4,8.9,,55.8,,55.8,0.281,,,,3,163.9946893,1770,1770
2022 Giro d'Italia Donne Stage 2,114.59,,11.4,2.45,112,,3.29,,99.9,,,,,,,,-450,,449,690,1140
2022 Giro d'Italia Donne Stage 4,127.387,,90,3.82,123,,1.79,,35.4,,0.197,,0.197,,,,30,18,156,360,330
2022 Giro d'Italia Donne Stage 9,92.459,0.726,88.7,0.834,91.5,0.334,2.53,,,,0.169,,0.169,,,,,3,213,550,550
2022 Giro del Medio Brenta,177.316,5.47,125,7.25,170,,1.53,,44.9,,0.416,,0.416,0.116,,,1050,22,1097,2080,1030
2022 Giro del Veneto,159.661,3.12,139,3.69,155,0.355,4.77,,12.2,1.3,0.285,,0.216,,,,30,4,249,1680,1650
2022 Giro dell'Emilia Internazionale Donne Elite,89.55,1.75,69.8,1.55,88.1,,1.5,,16.5,,,,,,,,230,12,267,360,130
2022 Giro dell'Emilia,198.2,3.95,160,9.92,187,,6.65,,27.6,1.09,,,,,,,220,20,758,3010,2790
2022 Giro della Lunigiana Stage 1,90.411,0.517,11.6,,90.4,,23.3,,54.7,,,,,,0.294,,-10,,624,1900,1910
2022 Giro della Lunigiana Stage 2-1,46.6,,20.4,0.205,46.4,,2.7,,23.5,,,,,,,,,35,83,240,240
2022 Giro della Lunigiana Stage 2-2,56.839,0.309,48.7,1.89,54.9,,1.13,,6.7,,,,,,,,260,,306,840,580
2022 Giro della Lunigiana Stage 3,97.05,,37.7,,95.5,,,,57.8,,1.55,,1.55,,,,200,63,614,1720,1520
2022 Giro della Lunigiana Stage 4,103.16,2.7,81.9,0.62,103,,1.96,,16.6,,,,,,,,30,,355,1190,1160
2022 Giro della Regione Friuli Venezia Giulia Stage 1,20.1,,20.1,,20.1,,,,,,,,,,,,,27,56,40,40
2022 Giro della Regione Friuli Venezia Giulia Stage 2,156.31,1.51,146,6.79,149,,2.36,,6.44,0.246,,,,,,,60,113,253,1690,1630
2022 Giro della Regione Friuli Venezia Giulia Stage 3,159.643,0.14,106,7.56,149,,0.163,,50.1,,3.25,,3.24,,,,1230,37,1304,2410,1180
2022 Giro della Regione Friuli Venezia Giulia Stage 4,154.21,,105,2.67,152,,2.11,,47.1,,,,,,,,100,1,257,1060,960
2022 Giro della Toscana - Memorial Alfredo Martini,198.839,0.303,151,2.42,196,,,,47.1,,0.465,,0.436,,,,10,7,800,2550,2540
2022 Gooikse Pijl,198.8,,112,104,94.7,,86.8,,,,,,,,,,-20,26,95,1680,1700
2022 Gp Capodarco Comunita Di Capodarco,178.701,0.473,114,17.9,161,,17.4,,46.5,,0.356,,0.328,,,,200,1,222,1790,1590
2022 GP de Fourmies ,195.97,5.19,186,9.2,186,,4.78,,,,,,,,,,-30,152,251,1880,1910
2022 GP General Patton,115.09,4.09,79.7,1.09,114,,,,31.3,,,,,,,,-20,424,510,1660,1680
2022 GP Internacional Torres Vedras - Trofeu Joaquim Agostinho Prologue,8.088,0.488,7.6,0.366,5.91,,,,,0.362,,1.45,,,,,,57,145,90,90
2022 GP Internacional Torres Vedras - Trofeu Joaquim Agostinho Stage 1,150.203,4.92,81.3,5.28,144,0.291,0.315,0.393,62.5,0.143,0.352,,0.266,0.393,0.611,,240,3,363,2160,1920
2022 GP Internacional Torres Vedras - Trofeu Joaquim Agostinho Stage 2,142.288,12.8,76,8.22,134,,,,53.3,0.27,0.225,,0.188,,,,-70,4,227,1910,1980
2022 GP Internacional Torres Vedras - Trofeu Joaquim Agostinho Stage 3,175.2,2.18,82.9,1.46,173,,5.02,,85.1,0.333,,,,,,,620,1,647,2760,2140
2022 GP Kranj,163.31,70.1,40.7,61.9,94.6,,8.49,,40.1,2.75,4.02,,3.92,,,,,340,400,1250,1250
2022 GP Luxembourg,92.356,2.25,41.2,,92.3,,0.306,,48.6,,,,,,,,,182,337,830,830
2022 GP Plouay Junior Men,129.846,0.846,129,63.4,66.5,,,,,,,,,,,,,81,152,1460,1460
2022 Gran Piemonte,198.248,0.47,163,1.41,196,,2.35,0.789,32.2,,0.228,,0.228,,,,-80,150,644,1720,1800
2022 Gran Premio Sportivi di Poggiana - Trofeo Bonin Costruzioni,129.89,2.79,110,15,115,,17.1,,,,,,,,,,,58,228,360,360
2022 Grand Prix Cappadocia,145.523,,106,,144,,,,38.7,,0.823,,0.823,,,,1120,1066,2216,1960,840
2022 Grand Prix CERATIZIT Women Junior,76.5,,76.5,28,48.5,,,,,,,,,,,,,81,141,850,850
2022 Grand Prix Chantal Biya Stage 1,103.6,,59.7,,103,,,,43.9,,,,,,,,10,187,236,620,610
2022 Grand Prix Chantal Biya Stage 2,95.54,,,0.129,73.3,,,21.1,94.4,,1.14,,1.14,,,,-30,637,746,970,1000
2022 Grand Prix Chantal Biya Stage 3,173.69,,4.49,55.5,104,,,4.49,159,,10.2,,10.2,,,,-130,563,738,1820,1950
2022 Grand Prix Chantal Biya Stage 4,119.26,1.54,7.12,2.88,84.3,,,9.34,87.8,,22.8,,22.8,,,,40,574,757,1640,1600
2022 Grand Prix Chantal Biya Stage 5,145.63,0.22,65.2,53.6,83.2,,,6.48,77.9,,2.31,,2.31,,,,-10,626,734,1710,1720
2022 Grand Prix Cycliste de Montreal,224.924,68.4,110,0.643,225,0.524,46,,,,,,,,,,,61,208,4400,4400
2022 Grand Prix Cycliste de Quebec,205.73,93.1,7.28,21.6,167,12.8,,,86.6,10.7,6.69,,5.95,,,,,5,101,2690,2690
