Race Name,Distance,Street,Road,Paved,Asphalt,Path,Cycleway,Unpaved,State Road,Cobblestones,Unknown,Compacted Gravel,Off-grid (unknown),Singletrack,Access Road,Alpine,Net Gain,Lowest Elevation,Highest Elevation,Vertical Gain,Downhill
2018 Tour de Hokkaido Stage 2,171.812,,37.6,18.3,153,,,,134,,0.212,,0.212,,,,170,37,1184,1810,1640
2018 Tour de Hokkaido Stage 3,174.156,,27.6,20.8,153,,,,146,,0.59,,0.556,,,,100,68,849,1490,1390
2018 Tour de Hongrie Prologue,3.487,2.09,,,2.8,0.277,1.12,,,0.642,,,,,,,,105,108,10,10
2018 Tour de Hongrie Stage 1,151,,,,,,,,,,,,,,,,20,101,342,1460,1440
2018 Tour de Hongrie Stage 2,186,,,,,,,,,,,,,,,,10,102,320,1230,1220
2018 Tour de Hongrie Stage 3,199,,,,,,,,,,,,,,,,-10,83,113,230,240
2018 Tour de Hongrie Stage 4,175,,,,,,,,,,,,,,,,40,83,659,840,800
2018 Tour de Hongrie Stage 5,129,,,,,,,,,,,,,,,,20,127,367,800,780
2018 Tour de Indonesia Stage 1,125,,,,,,,,,,,,,,,,-120,48,175,320,440
2018 Tour de Indonesia Stage 2,117.314,,9.23,,117,,0.251,,107,,0.833,,0.833,,,,-30,24,147,280,310
2018 Tour de Indonesia Stage 3,199.57,,1.57,2.38,197,,,,198,,,,,,,,20,16,730,1290,1270
2018 Tour de Indonesia Stage 4,170.24,3.14,3.91,3.89,162,,,,159,,4.19,,4.19,,,,20,3,1408,1930,1910
2018 Tour de Kumano Prologue,6.91,,,,,,,,,,,,,,,,,5,5,,
2018 Tour de Kumano Stage 1,114.21,4.42,9.77,17.8,88.7,,,,92.3,,7.72,,7.72,,,,10,30,84,2120,2110
2018 Tour de Kumano Stage 2,108,,13.4,56.7,51.2,,,,94.6,,,,,,,,40,4,464,2560,2520
2018 Tour de Kumano Stage 3,105.532,2.65,102,39.3,63.5,,,,0.882,,2.65,,,,,,-10,1,61,1790,1800
2018 Tour de l'Abitibi - Coupe des Nations Junior Stage 1,115.574,9.56,0.674,8.44,104,,37.6,,64.7,,3.04,,3.04,,,,40,275,359,440,400
2018 Tour de l'Abitibi - Coupe des Nations Junior Stage 2,137.09,1.19,72,0.001,136,,18.1,,45.8,,,,,,,,-10,297,351,290,300
2018 Tour de l'Abitibi - Coupe des Nations Junior Stage 3-1,11.4,1.74,5.95,1.22,8.33,,3.71,1.85,,,,,,,,,,317,361,60,60
2018 Tour de l'Abitibi - Coupe des Nations Junior Stage 3-2,54.66,2.21,0.15,1.17,53.5,,31.3,,21,,,,,,,,,299,320,110,110
2018 Tour de l'Abitibi - Coupe des Nations Junior Stage 4,99.723,9.56,88.3,8.39,91.3,,0.723,,1.14,,,,,,,,,298,351,290,290
2018 Tour de l'Abitibi - Coupe des Nations Junior Stage 5,104.2,54.6,27.8,17.9,77,,21.8,9.23,,,,,,,,,,315,361,800,800
2018 Tour de l'Abitibi - Coupe des Nations Junior Stage 6,119.885,41.9,0.985,31.5,88.3,,27.7,,49.3,,,,,,,,20,302,345,460,440
2018 Tour de l'Ain Stage 1,158.69,1.98,148,7.39,151,,,,8.71,,,,,,,,-10,183,300,740,750
2018 Tour de l'Ain Stage 2,151.214,0.244,140,10.1,141,,,,10.8,,0.17,,0.17,,,,350,195,785,2800,2450
2018 Tour de l'Ain Stage 3,132.573,0.981,101,1.04,131,,,,29.8,0.276,0.792,,0.614,,0.178,,420,344,1320,2490,2070
2018 Tour de l'Avenir Stage 1,139.658,1.54,138,35.1,104,,,,0.118,,,,,,,,10,38,156,1310,1300
2018 Tour de l'Avenir Stage 10,120.185,0.617,64.1,5.94,114,,5.7,,49.6,,0.199,,0.168,,,,-720,450,1798,2330,3050
2018 Tour de l'Avenir Stage 2,143.866,10.5,121,15.2,128,,11.8,,0.126,,0.523,,0.44,,,,70,3,110,1020,950
2018 Tour de l'Avenir Stage 3,165.622,0.813,163,0.402,164,,0.977,,,,0.832,,0.832,,,,100,36,213,1290,1190
2018 Tour de l'Avenir Stage 4,20.46,,14.1,5.55,14.4,,3.34,,2.5,,0.52,,0.52,,,,-10,90,112,40,50
2018 Tour de l'Avenir Stage 5,138.451,1.11,134,5.66,132,0.231,,0.141,2.54,,0.57,,0.57,,,,50,81,186,570,520
2018 Tour de l'Avenir Stage 6,181.607,,160,,181,0.407,,0.407,21.2,,,,,,,,220,95,438,1550,1330
2018 Tour de l'Avenir Stage 7,34.572,0.122,26.7,,34.6,,,,7.75,,,,,,,,960,483,1440,1520,560
2018 Tour de l'Avenir Stage 8,76.653,0.183,70.9,,76.4,,2.28,,3.29,,0.148,,,,,,860,340,1652,2010,1150
2018 Tour de l'Avenir Stage 9,81.237,1.08,58.1,5.35,75.1,,,,21.3,,0.827,,0.757,,,,1010,726,1867,2810,1800
2018 Tour de l'Espoir Stage 1,93.2,,42.8,,93.2,,,,50.4,,,,,,,,,13,42,550,550
2018 Tour de l'Espoir Stage 2,147.851,0.721,18.7,10.3,134,0.13,,,125,,3.56,,3.3,,,,-10,1,235,970,980
2018 Tour de l'Espoir Stage 3,101.12,8.49,46.3,3.73,82.9,,,10.3,42.2,,4.13,,4.13,,,,,660,794,1790,1790
2018 Tour de l'Espoir Stage 4,80.02,5.95,17.2,5.43,63.1,2.2,,5.63,48,,6.67,,6.67,0.828,,,120,649,794,1170,1050
2018 Tour de l'Eurometropole,206.28,5,129,38.7,165,,25.7,,45.1,0.579,1.56,,1.48,,,,-100,11,149,1660,1760
2018 Tour de Limousin Stage 1,176.28,1.08,166,11.2,164,,,0.994,9.2,,,,,0.375,,,30,261,538,2150,2120
2018 Tour de Limousin Stage 2,177.879,3.37,165,41.3,136,1.11,,1.11,8.24,0.139,0.159,,0.159,,,,-30,77,367,2400,2430
2018 Tour de Limousin Stage 3,194.066,0.666,192,18.5,174,,,,,,1.46,,1.4,,,,-220,194,629,2610,2830
2018 Tour de Limousin Stage 4,163.97,13.6,125,27.9,136,,1.47,,23.9,,,,,,,,60,140,426,1990,1930
2018 Tour de Limpopo Stage 1,95.35,0.234,0.477,0.234,94.8,,,,94.3,,0.339,,0.339,,,,-580,701,1549,1130,1710
2018 Tour de Limpopo Stage 2,174.1,,17.1,,174,,,0.138,157,,,,,,,,,690,1559,2250,2250
2018 Tour de Limpopo Stage 3,28.5,,15.9,1.46,27.1,,,,12.6,,,,,,,,10,684,835,430,420
2018 Tour de Limpopo Stage 4,115.193,,20.1,,115,,,0.138,94.6,,0.493,,0.493,,,,590,705,1559,1810,1220
2018 Tour De Lombok Mandalika Stage 1,85.278,,27,0.809,84.2,,,,57.9,,0.378,,0.378,,,,10,4,381,610,600
2018 Tour De Lombok Mandalika Stage 2,160,,,,,,,,,,,,,,,,1150,,1615,2730,1580
2018 Tour De Lombok Mandalika Stage 3,122.1,,13.1,,122,,,,109,,,,,,,,,8,25,310,310
2018 Tour de Luxembourg Prologue,232,,,,,,,,,,,,,,,,10,260,307,60,50
2018 Tour de Luxembourg Stage 1,186.242,,154,,186,,1.07,,31,,0.172,,0.172,,,,-30,135,432,2160,2190
2018 Tour de Luxembourg Stage 2,89,,,,,,,,,,,,,,,,20,218,383,880,860
2018 Tour de Luxembourg Stage 3,161.86,1.26,124,,161,,4,,32.6,,,,,,,,-140,267,531,2460,2600
2018 Tour de Luxembourg Stage 4,176,,,,,,,,,,,,,,,,110,186,526,2840,2730
2018 Tour de Normandie Stage 1,150.507,2.03,109,12.7,138,,1.04,,38.1,,0.414,,0.337,,,,80,38,207,940,860
2018 Tour de Normandie Stage 2,153,,,,,,,,,,,,,,,,10,12,224,1160,1150
2018 Tour de Normandie Stage 3,134.547,,70.8,5.34,129,,3.35,,59.8,,0.612,,0.597,,,,-120,3,177,1020,1140
2018 Tour de Normandie Stage 4,154.53,1.92,149,6.31,149,,3.61,,,,,,,,,,80,12,251,1100,1020
2018 Tour de Normandie Stage 5,173.92,1.12,161,18.2,156,,4.72,,7.08,,,,,,,,20,49,344,2020,2000
2018 Tour de Normandie Stage 6,156,,,,,,,,,,,,,,,,-20,3,128,830,850
2018 Tour de Normandie Stage 7,151.07,,127,0.243,151,,1.67,,22.4,,,,,,,,-40,,242,1110,1150
2018 Tour de Okinawa,208,,,,,,,,,,,,,,,,-10,1,348,3310,3320
2018 Tour de Pologne Stage 1,135.447,2.51,107,0.442,135,0.237,2,0.237,23.7,0.178,,,,,,,-40,202,469,1240,1280
2018 Tour de Pologne Stage 2,148,,,,,,,,,,,,,,,,-40,254,316,820,860
2018 Tour de Pologne Stage 3,141,,,,,,,,,,,,,,,,-40,215,309,780,820
2018 Tour de Pologne Stage 4,176,,,,,,,,,,,,,,,,360,227,929,2390,2030
2018 Tour de Pologne Stage 5,152.22,1.82,140,,152,,,,10.4,,,,,,,,60,265,668,2130,2070
2018 Tour de Pologne Stage 6,130.06,2.3,120,10.8,119,,,,7.76,,0.172,,,,,,30,663,1137,2560,2530
2018 Tour de Pologne Stage 7,132,,,,,,,,,,,,,,,,-20,622,1000,2810,2830
2018 Tour de Romandie Prologue,4.046,1.8,1.58,0.842,2.34,,0.666,,,0.816,,,,,,,30,537,618,100,70
2018 Tour de Romandie Stage 1,166.368,1.36,103,11.8,153,,12.4,,49.1,0.627,0.508,,0.508,,,,-170,397,907,2720,2890
2018 Tour de Romandie Stage 2,174,,,,,,,,,,,,,,,,10,428,1151,2310,2300
2018 Tour de Romandie Stage 3,9.86,,9.86,0.346,9.52,,,,,,,,,,,,790,475,1256,790,
2018 Tour de Romandie Stage 4,150,,,,,,,,,,,,,,,,30,465,1797,3770,3740
2018 Tour de Romandie Stage 5,182.307,0.932,159,8.31,174,0.525,14.9,,6.95,,0.143,,,,,,-230,372,929,1980,2210
2018 Tour de Serbie Stage 1,158.295,0.235,136,20.1,137,,,,20.6,,1.46,,1.46,,,,,122,266,1520,1520
2018 Tour de Serbie Stage 2,155.224,0.424,99,0.201,155,,,0.782,55.8,,,,,0.782,,,-100,72,630,1080,1180
2018 Tour de Serbie Stage 3,113.034,2.06,83.9,2.85,110,,,,26.8,,0.274,,0.274,,,,400,72,476,1140,740
2018 Tour de Siak Stage 1,158,,158,,158,,,,,,,,,,,,,3,26,470,470
2018 Tour de Siak Stage 2,116.271,3.09,113,23.6,92.2,,,,,,0.181,,0.181,,,,,,14,190,190
2018 Tour de Siak Stage 3,162,,162,,162,,,,,,,,,,,,,3,26,480,480
2018 Tour de Siak Stage 4,105.6,11.7,93.9,11.7,93.9,,,,,,,,,,,,,5,16,210,210
2018 Tour de Singkarak Stage 1,140.957,0.161,75.8,0.681,140,,,,64.8,,0.196,,0.196,,,,-770,152,1079,1130,1900
2018 Tour de Singkarak Stage 2,203.4,,55.4,,204,,,,148,,,,,,,,-110,67,450,1380,1490
2018 Tour de Singkarak Stage 3,151.626,0.726,94.4,0.96,151,,,,56.5,,0.108,,,,,,30,359,917,1520,1490
2018 Tour de Singkarak Stage 4,144.016,,54.9,,144,,,,88.9,,0.216,,0.216,,,,1140,,1136,1500,360
2018 Tour de Singkarak Stage 5,171,,,,,,,,,,,,,,,,-60,181,953,2030,2090
2018 Tour de Singkarak Stage 6,105.395,2,57.4,6.03,99.2,,,,45.8,,0.195,,0.195,,,,150,364,1045,1150,1000
2018 Tour de Singkarak Stage 7,194.89,1.09,40.8,3.28,191,,,,153,,0.635,,,,,,-210,366,1605,2580,2790
2018 Tour de Singkarak Stage 8,158.896,11.3,18.4,7.82,149,,,,129,,2.55,,0.196,,,,10,1,204,950,940
2018 Tour de Suisse Stage 1,182,,,,,,,,,,,,,,,,,386,519,180,180
2018 Tour de Suisse Stage 2,156,,,,,,,,,,,,,,,,,386,625,1810,1810
2018 Tour de Suisse Stage 3,183,,,,,,,,,,,,,,,,-40,330,558,2290,2330
2018 Tour de Suisse Stage 4,191,,,,,,,,,,,,,,,,600,366,1283,2600,2000
2018 Tour de Suisse Stage 5,154,,,,,,,,,,,,,,,,320,394,1545,2700,2380
2018 Tour de Suisse Stage 6,185.679,0.101,3.2,0.572,184,0.203,7.89,0.198,174,0.272,0.385,,0.285,,,,-510,418,2433,3480,3990
2018 Tour de Suisse Stage 7,170,,,,,,,,,,,,,,,,1160,420,1741,2930,1770
2018 Tour de Suisse Stage 8,119.77,9.67,61.4,9.15,110,,19.4,,29.3,,0.528,,,,,,-20,221,269,810,830
2018 Tour de Suisse Stage 9,34.14,5.77,15.4,8.49,25.1,,6.85,,6.12,0.488,0.106,,,,,,,205,269,230,230
2018 Tour de Taiwan Stage 1,87.8,,,,,,,,,,,,,,,,10,10,26,400,390
2018 Tour de Taiwan Stage 2,117.757,2.22,24,4.31,111,,5.34,,85.4,,2.03,,0.797,,,,320,3,457,990,670
2018 Tour de Taiwan Stage 3,154.79,2.21,69.6,3.37,151,,5.18,,77.8,0.224,0.488,,,,,,260,27,766,2320,2060
2018 Tour de Taiwan Stage 4,166.407,0.652,43.2,4.81,161,,16.2,,106,,0.447,,0.355,,,,670,82,879,2350,1680
2018 Tour de Taiwan Stage 5,194.75,4.6,59.6,4.41,190,,0.352,,130,,0.385,,0.198,,,,-20,,30,530,550
2018 Tour de Tochigi Stage 1,7.23,,,2.85,4.38,7.23,,,,,,,,,,,,15,16,20,20
2018 Tour de Tochigi Stage 2,105,,,,,,,,,,,,,,,,410,16,517,1030,620
2018 Tour de Tochigi Stage 3,146.35,,93.4,5.33,141,,,,52.5,,0.45,,0.45,,,,-230,48,334,1230,1460
2018 Tour de Vendee,205.012,6.85,193,40.1,165,,4.52,0.315,0.458,,0.251,,0.184,,,,-10,5,103,1420,1430
2018 Tour de Yorkshire Stage 1,181.11,4.88,93.4,33.9,147,,4.03,,78.8,,,,,,,,20,,150,630,610
2018 Tour de Yorkshire Stage 2,147.161,1.78,98.7,19.8,127,,,,46.5,,0.368,,0.181,,,,150,11,264,1770,1620
2018 Tour de Yorkshire Stage 3,179.399,3.2,46.7,23.2,155,,0.321,,129,0.835,0.195,,0.178,,,,-140,4,301,1430,1570
2018 Tour de Yorkshire Stage 4,187,,,,,,,,,,,,,,,,-150,31,498,2820,2970
2018 Tour de Yorkshire Women's Race Stage 1,133.114,4.45,78.9,28.5,104,,2.46,,47.1,,0.228,,0.204,,,,-20,1,150,500,520
2018 Tour de Yorkshire Women's Race Stage 2,123.661,1.28,81.5,16.5,107,,,,40.7,,0.181,,0.181,,,,120,11,236,1400,1280
2018 Tour Des Fjords Stage 1,191,,,,,,,,,,,,,,,,20,2,239,2080,2060
2018 Tour Des Fjords Stage 2,188.837,5.47,34.9,7.85,180,,12.9,,135,0.658,0.79,,0.567,,,,-60,1,100,2040,2100
2018 Tour Des Fjords Stage 3,185,,,,,,,,,,,,,,,,50,1,271,3100,3050
2018 Tour du Doubs,189,,,,,,,,,,,,,,,,-80,348,1101,2560,2640
2018 Tour du Faso Stage 1,100.936,0.885,0.791,8.96,91,,8.08,,90.2,,0.98,,0.98,,,,-10,279,331,260,270
2018 Tour du Faso Stage 10,126.69,,12.4,7.66,113,,7.66,0.145,100,,6.63,,6.63,,,,-10,262,331,350,360
2018 Tour du Faso Stage 2,158,,,,,,,,,,,,,,,,-120,163,331,490,610
2018 Tour du Faso Stage 3,92.6,,,,,,,,,,,,,,,,120,162,321,540,420
2018 Tour du Faso Stage 4,147.67,1.27,4.16,52.1,81,4.15,,6.72,131,,7.09,0.54,7.09,0.207,,,-20,301,353,310,330
2018 Tour du Faso Stage 5,147,,,,,,,,,,,,,,,,-30,277,356,320,350
2018 Tour du Faso Stage 6,30.733,,1.09,0.532,3.08,0.823,,19.5,22.6,,6.22,1.4,6.22,,,,,283,309,90,90
2018 Tour du Faso Stage 7,109.915,,25.4,82.8,13.6,0.315,,0.315,71,,13.2,,13.2,,,,-110,365,541,620,730
2018 Tour du Faso Stage 8,176.795,0.329,0.526,0.409,170,3.66,,3.83,170,,2.28,,2.28,,,,-190,257,481,610,800
2018 Tour du Faso Stage 9,91,,,,,,,,,,,,,,,,40,273,341,250,210
2018 Tour du Finistere,190.356,3.66,148,14.1,176,0.229,9.4,,28.8,0.104,0.267,,0.267,,,,10,11,242,2310,2300
2018 Tour du Gevaudan Occitanie,150.347,,96.4,0.158,150,0.147,,0.147,53.8,,,,,,,,,683,1543,2800,2800
2018 Tour du Jura Cycliste Stage 1,162.861,0.401,125,11.5,149,1.86,,1.86,35.6,0.216,0.121,,,,,,-210,221,711,2100,2310
2018 Tour du Jura Cycliste Stage 2,161.838,2.77,144,15.4,146,0.16,0.908,0.16,14,,,,,,,,40,209,741,2490,2450
2018 Tour du Loir et Cher E Provost Stage 1,182,,,,,,,,,,,,,,,,30,64,138,840,810
2018 Tour du Loir et Cher E Provost Stage 2,201.79,4.69,179,12.2,190,,,,18.1,,,,,,,,10,79,147,720,710
2018 Tour du Loir et Cher E Provost Stage 3,176.708,6.14,166,23.9,152,1.45,0.328,1.45,2.79,,,,,,,,-80,77,237,1220,1300
2018 Tour du Loir et Cher E Provost Stage 4,145.657,12.2,121,43.7,101,0.509,0.548,0.509,11.4,,,,,,,,,56,140,920,920
2018 Tour du Loir et Cher E Provost Stage 5,97.23,14.5,43.7,4.01,87.1,2.24,19.5,,13.5,2.19,4.04,,,0.131,3.79,,,66,109,660,660
2018 Tour du Maroc Stage 1,142.453,0.102,8.29,,133,0.221,,0.221,124,,9.84,,9.84,,,,550,3,547,1280,730
2018 Tour du Maroc Stage 10,127.178,0.411,15,,126,,,,111,,0.804,,0.767,,,,10,2,143,540,530
2018 Tour du Maroc Stage 2,162.125,,,,162,0.125,,0.125,162,,,,,,,,420,419,1684,1850,1430
2018 Tour du Maroc Stage 3,189.592,0.332,,0.332,178,,4.36,,174,,10.9,,10.9,,,,-70,368,588,400,470
2018 Tour du Maroc Stage 4,192.565,0.266,,0.266,179,0.799,,0.799,179,,12.5,,12.5,,,,670,467,2233,2850,2180
2018 Tour du Maroc Stage 5,158.57,1.46,7.05,0.548,153,,26.3,,120,,4.67,,3.76,,,,-420,728,1690,1330,1750
2018 Tour du Maroc Stage 6,203.559,,,,202,0.169,6.06,0.169,196,,1.36,,1.33,,,,-1170,234,1845,930,2100
2018 Tour du Maroc Stage 7,120.259,0.799,35.2,10.1,110,,0.16,,84.1,,,,,,,,-220,9,235,150,370
2018 Tour du Maroc Stage 8,202.908,,0.908,,203,,,,202,,,,,,,,-20,1,442,1900,1920
2018 Tour du Maroc Stage 9,151.07,,2.07,,151,,,,149,,,,,,,,-60,5,186,400,460
2018 Tour du Pays de Vaud Stage 1,4.46,,1.83,1.51,3.02,,2.63,,,,,,,,,,,372,420,50,50
2018 Tour du Pays de Vaud Stage 2,117.623,0.48,117,5.38,112,0.143,,,,,,,,,,,130,430,685,1560,1430
2018 Tour du Pays de Vaud Stage 3-1,77.47,0.77,64.8,2.4,75.1,,9.22,,2.68,,,,,,,,420,380,878,1310,890
2018 Tour du Pays de Vaud Stage 3-2,10.17,1.88,8.29,4.38,5.79,,,,,,,,,,,,-10,772,845,90,100
2018 Tour du Pays de Vaud Stage 4,110,,,,,,,,,,,,,,,,-80,426,684,1150,1230
2018 Tour du Rwanda Stage 1,104,,,,104,,,,104,,,,,,,,,1491,1549,1080,1080
2018 Tour du Rwanda Stage 2,120.523,1.23,,103,17.6,,,,119,,0.293,,0.293,,,,380,1356,1907,2210,1830
2018 Tour du Rwanda Stage 3,202.38,2.01,3.17,154,36.9,,,0.572,187,,10.3,,10.2,0.124,,,80,1445,2484,4190,4110
2018 Tour du Rwanda Stage 4,142.107,0.513,13.2,1.11,134,0.14,,2.41,124,,4.25,,4.09,,0.164,,-370,1481,2467,2630,3000
2018 Tour du Rwanda Stage 5,102.924,0.59,7.87,1.93,92.9,,,2.43,88.6,,5.75,,5.7,0.162,0.164,,,1481,2210,2240,2240
2018 Tour du Rwanda Stage 6,107.7,12.4,16.5,20.2,68,,,6.54,65.8,,13,,13,0.172,,,840,1469,2477,2000,1160
2018 Tour du Rwanda Stage 7,107,,,,,,,,,,,,,,,,-150,1367,2167,2180,2330
2018 Tour du Rwanda Stage 8,82.08,1.68,63.6,48.4,31.7,,10,,5.47,0.676,1.33,,1.33,,,,80,1377,1595,1410,1330
2018 Tour du Senegal Stage 1,144.822,,0.822,,145,,,,144,,,,,,,,60,1,90,400,340
2018 Tour du Senegal Stage 2,182,,,,182,,,,182,,,,,,,,-50,,69,200,250
2018 Tour du Senegal Stage 3,147.744,,0.744,,148,,,0.257,147,,,,,,,,40,2,47,190,150
2018 Tour du Senegal Stage 4,108.17,,,,106,,,,106,,2.17,,2.17,,,,-10,52,65,320,330
2018 Tour du Senegal Stage 5,158.408,0.715,0.153,,144,,,13.2,156,,1.54,,1.54,,,,-40,1,59,160,200
2018 Tour du Senegal Stage 6,114.55,,1.01,,105,,,7.93,112,,1.54,,1.54,,,,10,1,22,170,160
2018 Tour du Senegal Stage 7,139,,,,139,,,,139,,,,,,,,,1,111,490,490
2018 Tour du Senegal Stage 8,104,,,,104,,,,104,,,,,,,,,9,60,560,560
2018 Tour International de la Ville d'Oran Stage 1,145.21,1.51,56.8,3.55,98.2,,,,43.5,,43.4,,43.4,,,,10,4,215,760,750
2018 Tour International de la Ville d'Oran Stage 2,143.925,0.525,40.8,3.17,126,,,,88.1,,14.5,,14.5,,,,-60,30,263,850,910
2018 Tour International de la Ville d'Oran Stage 3,140.546,0.946,60.7,0.946,120,,,,59.7,,19.2,,19.2,,,,230,6,415,1820,1590
2018 Tour International de la Ville d'Oran Stage 4,132,,,,132,,,,132,,,,,,,,,29,71,690,690
2018 Tour International des Zibanes Stage 1,195.638,0.438,54.4,,178,,,,123,,17.8,,17.8,,,,,65,234,580,580
2018 Tour International des Zibanes Stage 2,122.76,,8.68,,121,,,,112,,2.08,,2.08,,,,,94,113,430,430
2018 Tour International des Zibanes Stage 3,154.002,,25.8,0.671,153,,,,128,,0.202,,0.202,,,,400,17,511,620,220
2018 Tour International des Zibanes Stage 4,145.7,,21.4,,134,,,,112,,12.3,,12.3,,,,50,65,506,870,820
2018 Tour of Albania Stage 1,165.567,2.22,9.28,2.29,142,,1.26,0.206,133,0.486,20.4,,19.7,,0.107,,680,95,927,2260,1580
2018 Tour of Albania Stage 2,194,,,,,,,,,,,,,,,,-700,17,929,1120,1820
2018 Tour of Albania Stage 3,175,,,,,,,,,,,,,,,,-110,-1,800,1430,1540
2018 Tour of Albania Stage 4,123,,,,,,,,,,,,,,,,230,-1,1031,2730,2500
2018 Tour of Albania Stage 5,161.111,0.335,32.4,1.89,159,,0.11,,128,0.11,0.413,,0.266,,,,-60,4,557,1560,1620
2018 Tour of Almaty Stage 1,202.2,,86.5,0.758,202,,15.7,,100,,,,,,,,,810,985,2100,2100
2018 Tour of Almaty Stage 2,159.419,0.179,9.07,0.628,158,,,,149,,1.38,,1.17,,,,960,748,1699,2550,1590
2018 Tour of Antalya Stage 1,155,,,,,,,,,,,,,,,,-10,17,998,1460,1470
2018 Tour of Antalya Stage 2,118,,,,,,,,,,,,,,,,-10,-10,1287,2070,2080
2018 Tour of Antalya Stage 3,32.84,2.64,27.8,3.81,28.6,,,,1.9,,0.5,,0.5,,,,1130,1,1129,1160,30
2018 Tour of Antalya Stage 4,144.31,3.31,65.1,3.47,141,,,,75.9,,,,,,,,30,,71,600,570
2018 Tour of Bihor-Bellotto Stage 1,179.97,2.17,81.3,2.9,177,,,,96.5,,,,,,,,,124,735,1450,1450
2018 Tour of Bihor-Bellotto Stage 2-1,86.1,,24.3,,86.2,,,,61.8,,,,,,,,1080,128,1202,1530,450
2018 Tour of Bihor-Bellotto Stage 2-2,203,,,,,,,,,,,,,,,,,124,129,,
2018 Tour of Bihor-Bellotto Stage 3,164.999,3.24,55.7,0.942,161,2.55,,3.02,103,,0.636,,0.509,,,,10,101,609,950,940
2018 Tour of Black Sea Stage 1,84.471,0.374,45.4,3.76,80,,,,38,,0.697,,0.697,,,,1170,,1175,1810,640
2018 Tour of Black Sea Stage 2,211,,1.64,4.28,201,,,,204,,5.36,,5.36,,,,,,61,1840,1840
2018 Tour of Black Sea Stage 3,206.98,,1.92,0.676,206,,,,204,,1.06,,1.06,,,,,,91,1230,1230
2018 Tour of Cappadocia Stage 1,111.256,,58.2,,111,,,,52.8,,0.256,,0.256,,,,,1065,1603,1300,1300
2018 Tour of Cappadocia Stage 2,130.934,0.314,30.3,,127,,,,96.6,,4.04,,3.72,,,,1000,944,2212,1760,760
2018 Tour of Cappadocia Stage 3,114.57,1.67,13.5,0.532,113,,,,99.4,,1.14,,,,,,,1014,1184,560,560
2018 Tour of Cartier - East Mediterranean Cycling Project Stage 1,6.47,,6.47,,6.47,,,,,,,,,,,,,2,26,50,50
2018 Tour of Cartier - East Mediterranean Cycling Project Stage 2,109.155,1.29,30.6,0.747,107,,,,77.1,1.18,0.165,,0.165,,,,120,1,499,1410,1290
2018 Tour of Cartier - East Mediterranean Cycling Project Stage 3,175,,,,,,,,,,,,,,,,,1,223,1500,1500
2018 Tour of Cartier - East Mediterranean Cycling Project Stage 4,111.988,0.788,1.2,0.788,112,,,,110,,,,,,,,,,36,350,350
2018 Tour of China I Stage 1,86.509,0.249,9.88,1.02,11,,,,2.18,,74.4,,74.2,,,,,442,487,690,690
2018 Tour of China I Stage 2,132.81,,7.39,0.952,11.9,,,,5.42,,120,,120,,,,10,310,782,6590,6580
2018 Tour of China I Stage 3,152.3,1.37,50.2,4.19,140,,,,92.6,,8.13,,8.13,,,,-30,343,581,2010,2040
2018 Tour of China I Stage 4,81.23,2.32,52.3,3.53,56.7,,,,5.61,,21,,21,,,,160,442,881,1360,1200
2018 Tour of China I Stage 5,111.4,39.6,18.5,,41.5,,,,22.9,,70,,30.4,,,,,38,58,310,310
2018 Tour of China I Stage 6,109.12,1.62,16.3,5.64,44.5,,,,32.2,,59,,59,,,,,26,42,150,150
2018 Tour of China I Stage 7,107.04,,1.04,,1.04,,,,,,106,,106,,,,-100,299,428,2760,2860
2018 Tour of China II Prologue,6.38,,,,,,,,,,6.38,,6.38,,,,,298,309,100,100
2018 Tour of China II Stage 1,102.6,,1.96,,3,,,,1.04,,99.6,,99.6,,,,30,232,415,3700,3670
2018 Tour of China II Stage 2,118.96,,47.7,8.43,108,,,,68.4,,2.86,,2.86,,,,,17,229,830,830
2018 Tour of China II Stage 3,93.9,,,,,,,,,,93.9,,93.9,,,,-10,-2,1,4240,4250
2018 Tour of China II Stage 4,21.305,0.148,0.157,0.148,0.157,,,,,,21,,21,,,,-100,1278,1442,460,560
2018 Tour of China II Stage 5,132.117,0.679,1.89,0.484,1.99,,,,0.548,,129,,129,,,,-10,1190,1466,2650,2660
2018 Tour of Chongming Island Stage 1,113.756,0.911,8.11,1.76,11.9,,4.44,,0.295,,101,,100,,,,,1,6,140,140
2018 Tour of Chongming Island Stage 2,124.191,5.39,15.3,10.6,13.5,0.294,4.23,,0.777,,100,,98.2,,,,,-11,6,160,160
2018 Tour of Chongming Island Stage 3,124.82,,13.9,,16.8,,,,2.92,,108,,108,,,,,1,6,220,220
2018 Tour of Croatia Stage 1,226.616,0.699,36.9,0.409,225,,3.6,,185,,0.417,,0.417,,,,50,84,621,1140,1090
2018 Tour of Croatia Stage 2,231,,,,,,,,,,,,,,,,-100,,789,2290,2390
2018 Tour of Croatia Stage 3,134,,,,,,,,,,,,,,,,1710,,1723,2890,1180
2018 Tour of Croatia Stage 4,170,,,,,,,,,,,,,,,,,,362,2110,2110
2018 Tour of Croatia Stage 5,147,,,,,,,,,,,,,,,,620,3,968,3220,2600
2018 Tour of Croatia Stage 6,155,,,,,,,,,,,,,,,,30,98,199,540,510
2018 Tour of Eftalia Hotels & Velo Alanya Stage 1,6.54,,6.54,,6.54,,,,,,,,,,,,,2,24,60,60
